Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-18,"\Attention, shoppers: Amazon has slashed prices on a pair of sneakers so comfy, you'll want to wear them all day long.
 DOUSSPRT
  Doussprt Slip-On Walking Shoes
    Save $28
  with Prime
  Featuring a solid rubber sole with an air cushion to put some extra pep in your step, these sneakers have a perforated arch that allows for ventilation and breathability while lending you plenty of support for long days on your feet.
   I will not be working out in them since they are not snug enough to be on a treadmill or to run in, but I could walk in these all day!""
  Doussprt
  Doussprt Slip-On Walking Shoes
    Save $26
  These elastic-cuff sneakers come in 18 colors.
  $34 at Amazon
  If you have Amazon Prime , you'll get free shipping, of course. “Stability, or support, is probably the most important quality of a sneaker or any other shoe that someone will wear if they are to be on their feet for more than a few minutes at a time,” Richard H. Graves, DPM, of Sol Foot & Ankle Centers in Longwood, Calif., tells Yahoo Life. Even at their regular price, the Doussprt Women's Slip-On Walking Shoes are affordable.",negative,1,"Amazon Prime, air, 14, IPL, Gloria Vanderbilt, Yahoo Life, shoes, coupon, Toothbrush, Velcro, sneaker, DPM, rave, High-Rise, Lotion, cement, sneakers, shoelaces, treadmill, Yahoo, Doussprt Women, Save, Arolina Wide, Happy feet, Prime, support, Longwood, Calif, Palmer, feet, See, Cocoa, 2-Pack
    Save, Retinol, fide, Amazon, slip-ons, Toothbrush
    Save, Gold Bond, Bona, Doussprt, Fans",2024-02-19,167.08,-0.44688077220997435
2024-02-18,"\Attention, shoppers: Amazon has slashed prices on a pair of sneakers so comfy, you'll want to wear them all day long.
 DOUSSPRT
  Doussprt Slip-On Walking Shoes
    Save $28
  with Prime
  Featuring a solid rubber sole with an air cushion to put some extra pep in your step, these sneakers have a perforated arch that allows for ventilation and breathability while lending you plenty of support for long days on your feet.
   I will not be working out in them since they are not snug enough to be on a treadmill or to run in, but I could walk in these all day!""
  Doussprt
  Doussprt Slip-On Walking Shoes
    Save $26
  These elastic-cuff sneakers come in 18 colors.
  $34 at Amazon
  If you have Amazon Prime , you'll get free shipping, of course. “Stability, or support, is probably the most important quality of a sneaker or any other shoe that someone will wear if they are to be on their feet for more than a few minutes at a time,” Richard H. Graves, DPM, of Sol Foot & Ankle Centers in Longwood, Calif., tells Yahoo Life. Even at their regular price, the Doussprt Women's Slip-On Walking Shoes are affordable.",negative,1,"Amazon Prime, air, 14, IPL, Gloria Vanderbilt, Yahoo Life, shoes, coupon, Toothbrush, Velcro, sneaker, DPM, rave, High-Rise, Lotion, cement, treadmill, sneakers, Yahoo, shoelaces, Doussprt Women, Save, Arolina Wide, Happy feet, support, Longwood, Calif, Palmer, feet, happy, See, Cocoa, 2-Pack
    Save, Retinol, fide, Amazon, slip-ons, Toothbrush
    Save, Gold Bond, Bona, Doussprt, Fans",2024-02-19,167.08,-0.44688077220997435
2024-02-19,"DJI Mini 4 Pro vs DJI Mini 3 Pro.  Welcome to our head-to-head drone battle between the mighty DJI Mini 4 Pro and its similarly-styled sibling, the DJI Mini 3 Pro
 On the surface, there appears to be very little difference between these two sterling sub-249g mini drones, but delve into the specs, and there's a surprising smorgasbord of fundamental variations between the two.
   Verdict
  This writer has learned a lot during the extra research on these two drones and my overriding opinion is that the DJI Mini 4 Pro is far and away the better drone in everything bar general flight characteristics, which are essentially the same.
   Pilot interface
   DJI Mini 4 Pro
  For the sake of this comparison, we shall compare the Mini 4 Pro's RC 2 controller to the Mini 3 Pro's RC controller since they are, in my opinion, a better choice than the standard phone-mount variants. The Mini 3 Pro was launched in May 2022 and is available now at DJI in two main configurations – the DJI RCN1 version (£639/ $759/ AU$ 1,119), which comes with DJI's standard phone-mount controller and the DJI RC, which ships with DJI's RC all-in-one controller (£859/ $909/ AU$1,299).
   Where the DJI Mini 3 Pro has forward, backward and downward obstacle sensing, the Mini 4 Pro features an omnidirectional binocular vision system that covers all sides of the drone.",neutral,0.98,"CMOS, dynamic range, HLG, firmware, magic, frame rate, gimbal, RC 2, MP, Irrespective, Live view, Chinese, Camera, flight, ISO, models, pitch, Cruise Control, AU, sensing, Jessops
  Design, colour grading, Inflight, DJI Mini, circle, butter, photography, Verdict, Let, Argos, Amazon, Flight, Asteroid, drones, same, armoury, WhatsApp, midriff, RC-N2, frog eyes, unbridled, Night Shots, pilot error, 1080p, sub-249, Obstacle, Video resolution, Circle, smorgasbord, D-Log M, Normal, battery, DJI RC, Fancy, Quick Shots, Live, controller, FHD, 4K, 70mm, RAW, bird, hawk, AU$, Boomerang, Aside, aperture, binocular vision, Mini, rock, drone, 909/ AU$1,299, plastic, RC, Pro, Welcome, Helix, post-production, Rocket, Combo, eBay, View, camera, DJI, oval, flight options, aerial images, gamut, CAA, OcuSync",2024-02-20,168.59,-0.20717414466674225
2024-02-19,"Product Reviews Apple AirPods Pro: Save 24% at Amazon’s Presidents Day sale

gannett

We may earn a commission if you make a purchase through one of the links. Discover incredible savings this Presidents Day with a special deal on Apple AirPods Pro. Usually ringing up at $249, the second-generation Apple AirPods Pro can be yours for just over $59 off today. gannett Apple AirPods Pro (2nd Generation) Apple AirPods Pro (2nd Generation)

gannett Apple AirPods Pro (2nd Generation)",neutral,0.99,"gannett, McClatchy, AirPods, Apple, earbuds, Presidents Day, headphones, usability, generation, Adaptive Transparency, Reviewed, Amazon, Gannett, pair, next, battery, AirPods Pro, USB, Discover, compact, noise, division, iPhone, audio, Presidents",2024-02-20,168.59,-0.20717414466674225
2024-02-20,"Oops!   The New York Times' book critic from 1983 to 2017, Kakutani weighed in on every important novel, memoir, and nonfiction book, speaking with the institutional authority of the world's most important newspaper. Well, was it good?
  There were times that a rave from her seemed to make a writer's career: Mary Karr, for example, said that Kakutani's laudatory review of her memoir The Liars' Club felt “like having the good fairy touch you on your shoulder with her wand.” “The great wave of change breaking over today's world,” Kakutani writes in the book's introduction, “is sweeping away old certainties and assumptions and creating an inflection point of both opportunity and danger.” In one paragraph she name-drops Trump, COVID, income inequality, and artificial intelligence, then adds that “looming over all of this, like Godzilla, is the dark cloud of climate change.”
  Kakutani declares the 2020s a “hinge moment” in world history, and describes other such inflection points: the late Middle Ages, the end of the Gilded Age, the years between the world wars.",neutral,0.7,"inflection points, Gilded Age, VUCA, Kendrick Lamar, aquatic, survey, Jetsons, critics, Humphrey Bogart, industrialization, Amazon, Leonardo DiCaprio, Woody Allen, tropes, Kakutani, acronym, apogee, Outsider, Manhattan, Casablanca, David Brooks, View, evolution, horror film, book, Falsehood, disaster movie, Guardian, Hokusai, Dustin Hoffman, volatility, wand, Rain Man, The Jetsons, Trump, COVID, Norman Mailer, ward, liver, future shock, Bowen Yang, Maus, PowerPoint, star, Middle Ages, fictional character, income inequality, Michiko Kakutani, Nicholson Baker, baroque, Michiko, voiceless, manga, NW, verve, J.D. Salinger, climate change, Paris Review, creaky, science fiction, world, hinge, Lorrie Moore, Smith, The Era, literary, rave, years, Margaret Atwood, critic, fantasy, mash-up, Times, butterfly, cloud, political satire, Elaine, hatchet, J.D., metafictional, The Aviator, Godzilla, fairy, mystery, inflection point, Asian, aut, artificial intelligence, literary criticism, woodblock print, Mary Karr, Star Wars, satirical, good, Pynchon, Crown, —Thomas Friedman, satiric, Time, Goodreads, metaphor, McSweeney, White Teeth, Black Mirror, Mount Fuji, Zadie Smith",2024-02-21,174.58,0.8549971114962555
2024-02-20,"Hands holding clear plastic bag.   Photo: ziploc.com
  Sure, everyone knows to pack carry-on toiletries in quart-size Ziploc bags to get through airport security, but you can also use larger bags to keep snacks, medicines, and full-size shampoos and conditioners from leaking into your luggage. Photo: ziploc.com
  If your favorite recipe cards are starting to show a little wear and tear, use a sandwich-size Ziploc bag to protect them from spills and splatters. If you're the eco-techy type who bookmarks their online recipe finds rather than printing them, place your tablet or phone in a Ziploc bag to protect it while you cook—yes, the touch screen will still work through the plastic.
   Travel Organizer
   A plastic bin in the backseat of a car filled with bottled water organized rows of Ziploc bags containing snacks.
  ",negative,1,"Affix, Daryna Tobey, household cleaner, tortillas, Command, Bug Controller, shower head, pesticide, fruit, Voila, salt, White, bags, Bob Vila, velcro, ice pack, 8½, apple, Saran Wrap, Homemade, oil, Plastic bag, icing, limescale, Scented Sachets, potato chips, cornflakes, slider, Savvy, masa, foil, Mitch Couch, size, potpourri, candle, View, concrete, airport security, condensation, rubbing alcohol, sneakers, Position, glow-in-the-dark, cake, bread, deodorizer, Ziplocs, Cord Organizer, DIY, rolling pin, Ziploc, Amazon, amazon.com, caulking, caulk, amazed, Wet, tile, Photo, cold pack, lavender, frost, Frosting Piper, time, oil filter, lock, rectangle, cast-iron, sewing needle, USB, tree, water, Fill, sputtering, earbuds, Jacuzzi, plastic bag, affix, Homemade Tortillas, graham crackers, tortilla, corkboard, cast iron, Zip, office supplies, plug-in, Stray, rice, funnel, seal, Caulking, Etsy.com, harvest, gallon, cement, sachet, dough, pack, cell phone, capillary, air, touch screen, beach, Bug Barriers, ½-inch, frosting, bottled water, orchard, plastic",2024-02-21,174.58,0.8549971114962555
2024-02-21,"We often recommend Logitech gear in our guides and right now, a number of the brand's keyboards, webcams and mice are discounted up to 25 percent.
 The Pebble mouse is the newer model of a recommendation in our guide to productivity mice and the keyboard is the next generation of a callout from our MacBook accessories article. The sale puts the Pebble 2 Combo keyboard and mouse at $50, which is $10 off and matches its all time low. Elsewhere in the Logitech sale, the Brio 301 webcam is down to $45, which is a 25 percent discount and matches the low it hit a few times over the past few months. The Signature M650 mouse, which we recommend in our gift guide, is down to $35 (instead of the $40 list price) for a few different configurations, including a left-handed version.",neutral,0.99,"keyboards, mice, Engadget, M650, guide, 1080p, MacBook, Twitter, webcams, webcam, sale, Bluetooth, HDR, article, noise cancelling, price, compact, SmartWheel, Logitech, mouse, percent, AA, Follow @EngadgetDeals, keyboard, Pebble, lightweight, Amazon",2024-02-22,174.99,0.4073904062428322
2024-02-21,"The Kid Laroi has been a certified star for a few years now and he's only 20 years old.
 Indeed, he burst onto the international music scene as a teen phenom, and now his fascinating rise to stardom will be chronicled in a new full-length documentary, Kids Are Growing Up: A Story About A Kid Named Laroi
  The film is set to premiere on Amazon's Prime Video on February 29, and a trailer is out now.
   A press release notes of the movie:
  “ Kids Are Growing Up tells the intimate story of Charlton ‘The Kid Laroi' Howard who went from an unknown musician living in Australia to a teenage global superstar selling out his hometown arena on back-to-back nights in just three years. The film captures a unique moment in time, as Laroi enters adulthood, navigating the pressures of rapid fame, struggles with his mental health, first love, and the tragic death of his mentor — the late great Juice WRLD. As Laroi is forced to deal with problems greater than his age, he searches for what happiness truly means, and how to handle outsized expectations from the public, those closest to him, and himself.”
  ",neutral,0.93,"Australia, Laroi, star, happiness, late, arena, film, Howard, Justin Bieber, release, mental health, Post Malone, studio album, Kids, fascinating, Juice WRLD, years, trailer, Check, Indeed, Amazon, first, phenom",2024-02-22,174.99,0.4073904062428322
2024-02-22,"All products and services featured are independently chosen by editors. Online

Apartment404 is a South Korean series that airs live on tvN, but for those residing in the U.S. or countries that don’t receive tvN through cable, Prime Video will be airing the episodes every Friday. Prime members can watch Apartment404 for free when you log into your account and head to the Prime Video library.

 Amazon is offering a 30-day free trial for new users who sign up, which means you can watch Apartment404 online free, in addition to all the other Prime member perks. Besides Apartment404, you’ll also have access to the entire Prime Video library including exclusive and original TV shows and movies such as Marry My Husband, Gen V, The Boys, Citadel, The Lord of the Rings: The Rings of Power, The Boys, Tom Clancy’s Jack Ryan, The Underdoggs, Saltburn, Invincible, Red, White & Royal Blue, The Summer I Turned Pretty",neutral,0.52,"Husband, reality series, The Boys, Apartment404, Prime, Cha Tae-hyun, Jack Ryan, tvN, Check, Reading, Invincible, Amazon, Max, Billboard, U.S., cable, grocery delivery, Trending, Jennie, Yoo Jae-suk, Paramount, Venom, Yang Se-chan, White, season, Marry, other, library, spice, U.S, NordVPN, Citadel, Prime Video, Get, VPN, Royal Blue, BLINKS, How, accounting, Running Man, Idol, Starz, Amazon Music, Underdoggs, Rings, Video, Alchemy, Lee Jung-ha, Want, Tom Clancy, Oh Na-ra, Set, Virgo, free, Saltburn",2024-02-23,174.99,0.0
2024-02-22,"Summer House Season 8 airs on Bravo this month. The next season of Summer House airs on Thursday, February 22 on Bravo.
  Sign up to Dexerto for free and receive:
  Fewer Ads
  |
  Dark Mode
  |
  Deals in Gaming, TV and Movies, and Tech
  How to watch Summer House anywhere
  ExpressVPN is a great way to watch your favorite shows from areas that do not otherwise have access.
   Where is Summer House Season 8 available to stream?
  Summer House airs live on the cable channel Bravo every Thursday and can be streamed on Peacock the next day.
   Summer House Season 8 premieres Thursday, February 22 at 9:00 p.m. ET on Bravo. Summer House makes its return to Bravo for Season 8 on February 22, and the housemates will be taking a break from the city to kick off another fun summer together in the Hamptons.
  ",neutral,1,"Lindsay Hubbard, Lindsay, Apple, summer, Dexerto, Exclusive, Summer House, ExpressVPN, cable, UK, Dark Mode, Carl Radke, Bravo, ET, reality TV, season, Movies, AU, Apple TV, Hamptons, Radke, Peacock, Global TV, House, YouTube TV, Summer, Tech, reality, US",2024-02-23,174.99,0.0
2024-02-23,"<span>Nvidia is at the heart of the AI gold rush, with those developing the technology relying heavily on its wares. Nvidia is at the heart of the AI gold rush, with those developing the technology relying heavily on its wares. Nvidia is at the heart of the AI gold rush, with those developing the technology relying heavily on its wares. Nvidia’s financial performance, and the broader demand for its shares, have become seen as bellwethers for overall interest in AI. 
 The wider industry has not experienced a revolution of this scale in decades, according to Ives, who described AI – and Nvidia’s role in powering its development – as a “transformational tech trend we have not seen since the start of the internet in the mid-90s”.",neutral,0.53,"market valuation, stoked, turbocharged, Ives, “transformational, YouTube, Amazon, America, Alphabet, AFP/Getty Images</span, more, New York, demand, OpenAI, Santa Clara, year, Photograph, CEO, US, data centers, Wall Street, AI, Nivdia, chips, Nivida, Nvidia, group, company, popcorn, artificial intelligence, valuation, tech, Huang, Sam Altman, Google, Wedbush, Joel Saget, Microsoft, Meta, S&P 500, California, Jensen Huang, Getty Images, gold rush",2024-02-24,174.99,0.0
2024-02-23,"Amazon shoppers have been praising a two-in-one cabin bag that can be used as underseat luggage on Ryanair, Tui, EasyJet, Jet2 and more. The handy bag fits the airlines' strict luggage requirements and can fit plenty of things inside.

Hailed as 'the perfect cabin bag', the versatile piece of luggage can be used as backpack or as a trolley thanks to the hybrid design. Good quality material and zips!""

(Image: Amazon)

However, one Amazon customer gave the Cabin Max Metz Hybrid Travel Bag a three star review, writing: ""I like the model and sturdy material and wheels are strong. The cabin bag has the following dimensions: 40x20x25cm, making it the perfect carry on size for most airliners based and operating in the UK. One Amazon customer said: ""This bag is ideal for using as hand luggage without having to pay any extra charges on EasyJet flights.",neutral,1,"size, Egypt, perfect, hybrid, more, cabin, mould, sleep, Metz, luggage, Amazon, easyJet, airport, pain, Home Bargains, day break, TUI, airline seat, Elsewhere, Ryanair, ratings, lightweight, Jet2, Hardshell, star, trolley, Tui, Bag, travel, Cabin Bag, pillow, EasyJet, comfortable, READ, Dunelm, Cabin Suitcase, lock, Argos, UK",2024-02-24,174.99,0.0
